Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2010-01-04,23.1733455657959,23.28565551439861,22.903800546670613,22.926263107630543,38409100
2010-01-05,23.180837631225586,23.28566151461768,22.94124263164168,23.098477742680394,49749600
2010-01-06,23.03856658935547,23.270673941728816,22.851382918193526,23.12092643356003,58182400
2010-01-07,22.798980712890625,22.98616445789597,22.604309446713227,22.933751809691614,50559700
2010-01-08,22.956212997436523,23.12093416905394,22.641744267549782,22.67169435044307,51197400
2010-01-11,22.66419792175293,23.031077724405442,22.551888011242653,22.99364013550335,68754700
2010-01-12,22.514455795288086,22.761538228614725,22.394658338408405,22.574354523727926,65912100
2010-01-13,22.724105834960938,22.85139083255895,22.469535839764912,22.656719575756192,51863500
2010-01-14,23.180837631225586,23.28566151461768,22.6567239266605,22.69416010980842,63228100
2010-01-15,23.105960845947266,23.39047949651465,22.993649461785214,23.2706820196338,79913200
2010-01-19,23.28565216064453,23.390474573830044,22.97118349298972,23.023594699582475,46575700
2010-01-20,22.9038028717041,23.165860397111654,22.694156565758334,23.06852405116952,54849500
2010-01-21,22.469533920288086,23.001134999603583,22.462046400116233,22.9187751339101,73086700
2010-01-22,21.683361053466797,22.611793544872384,21.593513669200725,22.462046000297697,102004600
2010-01-25,21.952909469604492,22.207479478032266,21.788188287485966,21.893010728097877,63373000
2010-01-26,22.08768081665039,22.34973833229816,21.780699604293982,21.863060905008627,66639900
2010-01-27,22.214963912963867,22.327273859173502,21.72828652732316,21.97536898022373,63949500
2010-01-28,21.833106994628906,22.36470945353984,21.63094825272904,22.342246895073753,117513700
2010-01-29,21.099349975585938,22.402148546582357,20.71000747995064,22.387173505650573,193888500
2010-02-01,21.27155876159668,21.323969977004793,20.90467882564137,21.256583720594787,85931100
2010-02-02,21.308990478515625,21.338940554254354,21.06939558499866,21.241605664299914,54413700
2010-02-03,21.436279296875,21.556078193262728,21.054425759264543,21.159248186993022,61397900
2010-02-04,20.844783782958984,21.338948798788287,20.822321217476283,21.249099964956248,77850000
2010-02-05,20.979551315307617,21.17422255209223,20.64262005393071,20.964576275224548,80960100
2010-02-08,20.754926681518555,21.024471647544182,20.642616755040606,20.97206044372769,52820600
2010-02-09,20.972064971923828,21.21914743476355,20.777393724217003,20.942114890077313,59195800
2010-02-10,20.957088470458984,21.144272184658973,20.84477852755867,20.987038550218216,48591300
2010-02-11,21.054431915283203,21.26407683203738,20.73996311205305,20.91217184455795,65993700
2010-02-12,20.91217041015625,21.009505339387335,20.65011285408962,20.82232157478243,81117200
2010-02-16,21.32590103149414,21.34094610299726,21.077663090800645,21.160408114513817,51935600
2010-02-17,21.50642967224121,21.551563435367306,21.333415717944135,21.46129590911512,45882900
2010-02-18,21.792280197143555,21.837415398039763,21.44625226559864,21.506431098683695,42856500
2010-02-19,21.641836166381836,21.75467131124107,21.581657326805132,21.65688123497019,44451800
2010-02-22,21.611745834350586,21.769716183550596,21.551566995316463,21.69449227606377,36707100
2010-02-23,21.310855865478516,21.68697404272648,21.13031931257273,21.574138876507487,52266200
2010-02-24,21.536523818969727,21.656882942388904,21.348464751118943,21.453778804763623,43165900
2010-02-25,21.513952255249023,21.551563485478813,21.07765538461175,21.265714405313616,48735300
2010-02-26,21.566604614257812,21.702007314008124,21.44624697776336,21.551559551001958,40370600
2010-03-01,21.829893112182617,21.852459278110143,21.461297576008466,21.641834077311525,43805400
2010-03-02,21.40864372253418,22.04052230904615,21.243152258362695,21.875030844874665,93123900
2010-03-03,21.40864372253418,21.52148031173597,21.325898707836856,21.44625639719372,48442100
2010-03-04,21.536523818969727,21.551568888744228,21.265719736912843,21.40864359544012,42890600
2010-03-05,21.50642967224121,21.574131034318583,21.378549481070227,21.559085968351063,56001800
2010-03-08,21.536523818969727,21.76219556125676,21.43873373498912,21.453778804763623,39414500
2010-03-09,21.664390563964844,21.89758469605703,21.47633161311523,21.48385414332233,50271600
2010-03-10,21.792280197143555,21.897594231124813,21.664399997490747,21.709535198386956,44891400
2010-03-11,21.95025062561035,21.95777315912557,21.702012758714396,21.732101457998706,35349700
2010-03-12,22.0179500579834,22.100695049827735,21.84493610666399,22.05556128747842,31700200
2010-03-15,22.033000946044922,22.09317979000544,21.82237427479469,21.9502544975579,37512000
2010-03-16,22.09317970275879,22.183447250954693,21.965299480500583,22.130790942044282,36723500
2010-03-17,22.28875732421875,22.469295269553378,22.115743347614426,22.190967252374417,50385700
2010-03-18,22.27371597290039,22.35646098531414,22.19096952570985,22.288759607572207,43845200
2010-03-19,22.25867462158203,22.49186749788123,22.07813806237197,22.38655486370295,81332100
2010-03-22,22.26618766784668,22.341411560818486,22.108217349128235,22.19096377487487,37718200
2010-03-23,22.476816177368164,22.4918612451474,22.123265693215902,22.258668433675766,42026600
2010-03-24,22.30379867553711,22.45424645998725,22.26618744681278,22.356454969661737,33987700
2010-03-25,22.574609756469727,22.99586164954083,22.416639399832583,22.439207003574108,73168700
2010-03-26,22.31131362915039,22.71752164831227,22.258657352912945,22.634775251495757,55595500
2010-03-29,22.25867462158203,22.43168864481121,22.228584477658504,22.348942183798545,33336000
2010-03-30,22.394073486328125,22.461774863548236,22.19096935466779,22.288759435776406,34954800
2010-03-31,22.033000946044922,22.35646133559721,21.942731962715733,22.29628249163669,63760000
2010-04-01,21.935203552246094,22.221054060572428,21.5289968230145,22.07812880640926,74768100
2010-04-05,22.0179500579834,22.138307714099195,21.837413573809698,21.912636032799746,34331200
2010-04-06,22.055561065673828,22.25114261358922,21.799800690305734,21.927680877989783,47366800
2010-04-07,22.078126907348633,22.23609577880192,21.920156601119036,21.935201665479248,58318800
2010-04-08,22.506908416748047,22.552042189527977,22.040521315432855,22.05556638461842,63713800
2010-04-09,22.822845458984375,22.875501761196457,22.49186114322421,22.52947381250186,54752500
2010-04-12,22.807802200317383,22.935682416451193,22.725055756119993,22.755145893928766,37068800
2010-04-13,22.90559196472168,22.943203199334526,22.664875184958916,22.679920252714705,41374600
2010-04-14,23.183921813964844,23.319324573309647,23.063564124497653,23.161355643925265,68941200
2010-04-15,23.22153091430664,23.281709749777267,23.101171808588774,23.183918245402115,52745400
2010-04-16,23.071086883544922,23.3042797298057,23.018430573238632,23.16135586891059,88703100
2010-04-19,23.349411010742188,23.507379915078747,23.138784370183505,23.146306903929524,64970300
2010-04-20,23.590124130249023,23.65030295977409,23.41710873993505,23.484810102497807,52199500
2010-04-21,23.567554473876953,23.69543465480186,23.49233058484295,23.567554473876953,55343100
2010-04-22,23.61269760131836,23.718011661658046,23.24410197707174,23.349416037411427,84847600
2010-04-23,23.289230346679688,23.755617387604477,23.056037543605584,23.409589449802684,126766600
2010-04-26,23.40207290649414,23.529953141193225,23.214013822217655,23.319326450283864,63649300
2010-04-27,23.20648765563965,23.507381856446823,23.131263746743674,23.281711564535623,68730900
2010-04-28,23.251623153686523,23.3193245332426,23.03347537994337,23.259145688612403,64557900
2010-04-29,23.319318771362305,23.64278051936802,23.071080919251767,23.266662474668628,52665200
2010-04-30,22.973295211791992,23.37950203094952,22.958250142807,23.371979496457026,63214800
