Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2010-01-04,15.50413990020752,15.572414476748204,15.442048595758756,15.509087086196505,78541293
2010-01-05,15.43586540222168,15.531103705754493,15.375258347980417,15.514776949996099,120638494
2010-01-06,15.046745300292969,15.482122263500194,14.999744668744388,15.482122263500194,159744526
2010-01-07,14.696465492248535,15.089789994060343,14.660596261781539,15.074947488543486,257533695
2010-01-08,14.892386436462402,14.922813100848188,14.573027227454245,14.644517527898834,189680313
2010-01-11,14.86987590789795,14.952745781426119,14.694982492333484,14.952745781426119,289597429
2010-01-12,14.606916427612305,14.796899556276129,14.545568666040332,14.78428389983503,194859654
2010-01-13,14.523056030273438,14.55496694285325,14.19677097471263,14.26084001709349,260838034
2010-01-14,14.59133243560791,14.698940131198578,14.417180679827055,14.444144408033763,170239717
2010-01-15,14.347667694091797,14.683106405382922,14.299181863086314,14.67766383793762,218194794
2010-01-19,14.536168098449707,14.605433443349959,14.25589384193728,14.377354228760874,173315202
2010-01-20,14.357810974121094,14.495598110341891,14.231155243387834,14.495598110341891,130515377
2010-01-21,14.421384811401367,14.516376841166219,14.155953089749682,14.432764380697742,253253712
2010-01-22,13.605794906616211,14.115137211097071,13.231023070753974,13.964239039550744,273035583
2010-01-25,13.358175277709961,13.60258030497438,13.247104643901979,13.521193736838505,177458675
2010-01-26,13.418039321899414,13.595653064711597,13.266399490942197,13.307957560471648,174873019
2010-01-27,13.41012191772461,13.547413659602316,13.242154404508257,13.389589629226252,159170382
2010-01-28,13.216924667358398,13.531335732315155,13.125642782858344,13.46924442502736,129648138
2010-01-29,13.1093168258667,13.38266425305219,13.002203567808396,13.320821110885815,166240784
2010-02-01,13.185507774353027,13.254525902889535,13.11822206089479,13.224593672770109,90369462
2010-02-02,13.138505935668945,13.233496066969815,13.05167681359457,13.233496066969815,164462143
2010-02-03,13.378458023071289,13.410122664984305,13.067014531791207,13.077898719653081,120413655
2010-02-04,13.031146049499512,13.308698045264824,13.000966605733176,13.283962116134266,135614418
2010-02-05,13.14271068572998,13.197379786864667,12.924279604011094,13.071220395568648,126713179
2010-02-08,13.196638107299805,13.407647936472895,13.148647659559566,13.172642883429686,108175956
2010-02-09,13.270109176635742,13.39602230853907,13.236219578519629,13.346795770522567,113206742
2010-02-10,13.220881462097168,13.303504109538205,13.053657482253621,13.211481524539648,107380987
2010-02-11,13.269120216369629,13.37029552276292,13.098432352067498,13.192928057458264,96761331
2010-02-12,13.187981605529785,13.287673614130231,13.123169960033486,13.184271452582632,91529795
2010-02-16,13.39033317565918,13.46034017190665,13.217172182302651,13.280746794413785,146723904
2010-02-17,13.313895225524902,13.442281478651275,13.299052719869984,13.40764928118728,81492313
2010-02-18,13.437828063964844,13.482108361516074,13.26268745307027,13.297319648825596,93826371
2010-02-19,13.376975059509277,13.457865292475155,13.350752984457436,13.371284327428961,102506786
2010-02-22,13.427438735961914,13.543703765283084,13.382911219783203,13.539993612531074,86105539
2010-02-23,13.23621940612793,13.447970902462897,13.167448500312409,13.432386745540057,115334688
2010-02-24,13.147164344787598,13.319583675398892,13.12341728362387,13.209255649500847,93412827
2010-02-25,13.022486686706543,13.073446583695512,12.863426565490142,13.039556040503651,132864148
2010-02-26,13.031641960144043,13.154092163952408,12.949513740726731,13.046978900977022,82279251
2010-03-01,13.17734432220459,13.192186828027005,13.0548941227659,13.091011518395414,89851528
2010-03-02,13.384395599365234,13.498186555101062,13.234733521269797,13.246361254841306,174925214
2010-03-03,13.489777565002441,13.559041960280892,13.339621987091618,13.416553905272718,124039193
2010-03-04,13.719091415405273,13.757186544645608,13.511544521427712,13.518965773512498,127829347
2010-03-05,13.957066535949707,14.042657693948499,13.850448651122287,13.88631788479377,157074555
2010-03-08,13.914270401000977,13.981061676851809,13.877905788330407,13.971166357291239,95813793
2010-03-09,13.857621192932129,13.968196436198536,13.766340259288272,13.849211071423113,127540267
2010-03-10,14.259852409362793,14.310563201550226,13.907591517762324,13.945934817447396,227043838
2010-03-11,14.375868797302246,14.501287491221605,14.204192067759415,14.20567537107015,169966698
2010-03-12,14.336289405822754,14.55249366460076,14.326889467752181,14.549030728931069,110548817
2010-03-15,13.931586265563965,14.086689021925823,13.753971587306214,14.018166281751864,186853758
2010-03-16,13.981557846069336,14.061212005320272,13.871724237123965,13.898193533518132,137774484
2010-03-17,13.990460395812988,14.136164166510508,13.95805504822704,14.058241486461018,133362007
2010-03-18,14.01124095916748,14.061705478109856,13.92614424295625,13.969681943567878,71354455
2010-03-19,13.852922439575195,14.05082126391252,13.785636725637405,13.852922439575195,192486794
2010-03-22,13.791077613830566,14.022371576122183,13.711423469872756,13.756692635722992,160792439
2010-03-23,13.580809593200684,13.811114689436375,13.407648614491157,13.779698211894392,220876809
2010-03-24,13.786870956420898,13.849209471235689,13.350751411487707,13.494475531317102,263592319
2010-03-25,13.924163818359375,14.14976798047269,13.819771857947451,13.828677360177634,157825359
2010-03-26,13.919464111328125,14.03573008480771,13.853416384841896,13.983286882852125,108252241
2010-03-29,13.913527488708496,13.96968084102766,13.86702034346069,13.927132012683938,124645457
2010-03-30,14.018908500671387,14.041666691975877,13.859846484366264,13.922926655270047,79412546
2010-03-31,14.029051780700684,14.093863422711639,13.922432959221997,13.977844663559342,121686407
2010-04-01,14.070611000061035,14.185639952537827,13.99021424723024,14.133691179472581,84423257
2010-04-05,14.125280380249023,14.221013122378247,14.075557511958992,14.122559096305844,76345092
2010-04-06,14.056262969970703,14.122311646446924,13.986503193489694,14.086936850153203,82712870
