Date,Close,High,Low,Open,Volume
,PFE,PFE,PFE,PFE,PFE
2010-01-04,9.519682884216309,9.524711498735282,9.172690284767157,9.187776128324076,54898644
2010-01-05,9.383901596069336,9.519681241511641,9.3285838129662,9.5146526278604,45714931
2010-01-06,9.353727340698242,9.459334287026593,9.308467798545957,9.383901042786276,43640975
2010-01-07,9.318528175354004,9.388932830039638,9.283325848011186,9.373845973895559,41557112
2010-01-08,9.393957138061523,9.409043987288438,9.313495290157503,9.363784450587337,32049716
2010-01-11,9.46939468383789,9.529742108216672,9.388932799306321,9.46939468383789,34199665
2010-01-12,9.439218521118164,9.54985407726732,9.3738425056756,9.454304360700538,43501847
2010-01-13,9.660491943359375,9.705752510604626,9.489510948144257,9.489510948144257,62728072
2010-01-14,9.74598503112793,9.806332463899931,9.620262560826585,9.655464892950173,49820367
2010-01-15,9.80129623413086,9.89684492367585,9.685632084206901,9.771122538072627,80760537
2010-01-19,10.057775497436523,10.092977826423798,9.806331590216184,9.821417436084882,82562244
2010-01-20,10.027599334716797,10.238813257056066,9.99239701432692,10.082917122332333,83522965
2010-01-21,9.675575256347656,10.13320432125936,9.640373953797258,10.077886544423434,81343188
2010-01-22,9.53476619720459,10.017539297187053,9.504592499338326,9.685632664576657,65034962
2010-01-25,9.479451179504395,9.68060686477593,9.474422565392084,9.675577239683701,51933110
2010-01-26,9.444247245788574,9.504593637769585,9.368814003067378,9.414074555287943,45955032
2010-01-27,9.554885864257812,9.600145419998036,9.383903860045757,9.444250271359412,57558308
2010-01-28,9.368813514709473,9.6051714680394,9.35875527774706,9.590084618085626,53690549
2010-01-29,9.383901596069336,9.539796707096434,9.31349696103265,9.404017061654129,59071114
2010-02-01,9.449275970458984,9.549854302593001,9.404016428684507,9.449275970458984,41586308
2010-02-02,9.675575256347656,9.72083580702053,9.439218309759369,9.489507473513768,71262310
2010-02-03,9.452215194702148,9.56897167579826,9.350687021162468,9.487749953388311,120151889
2010-02-04,9.1527099609375,9.360841416006492,9.14255775463175,9.315153426048495,99352043
2010-02-05,9.11717700958252,9.233933528464801,8.934427054489117,9.091795468246936,95279492
2010-02-08,9.056262969970703,9.13748473904242,8.995345622639082,9.091797749071539,58630015
2010-02-09,9.076563835144043,9.213625756467469,8.959807345849002,9.071486711741459,74804488
2010-02-10,9.00549602508545,9.127329660948515,8.94965582125811,9.096870996850871,63195205
2010-02-11,9.071489334106445,9.152712106226991,8.94458060237439,9.010573020411746,57646000
2010-02-12,9.0359525680542,9.081639532948447,8.944577617738432,9.061334101825752,53060257
2010-02-16,8.995342254638672,9.178092187153364,8.939503074704824,9.117175883157616,66699017
2010-02-17,8.96996021270752,9.066411277082855,8.89889170563391,9.061335173833468,61399821
2010-02-18,9.000419616699219,9.010571824036575,8.909044648025638,8.975038077828353,60202899
2010-02-19,9.132406234741211,9.188246441442079,9.0004203844053,9.0461073623753,53393321
2010-02-22,9.112099647521973,9.213626819376344,9.02580078605018,9.127328978431986,61134003
2010-02-23,8.96996021270752,9.107022144132745,8.939502572683798,9.05625907058408,50458353
2010-02-24,9.041031837463379,9.147635133065156,8.934427521333971,9.005497065420244,71379515
2010-02-25,8.980113983154297,9.000419417908,8.848128146991499,8.919196658365733,56344732
2010-02-26,8.90904426574707,9.041030099161638,8.883662727965302,8.980113796168936,62436536
2010-03-01,9.010575294494629,9.06641551793959,8.92427741677924,8.939506754178389,48087169
2010-03-02,8.93442440032959,9.076563438849627,8.90904286653413,9.071486315668718,68147740
2010-03-03,8.79228687286377,8.9344248987865,8.73644667897658,8.858279272624634,114953456
2010-03-04,8.797359466552734,8.832894213990514,8.741519294940069,8.807512688903637,59990729
2010-03-05,8.873510360717773,8.883663589131174,8.746600618451676,8.82274728023336,68202654
2010-03-08,8.807516098022461,8.93442479310622,8.766904213426155,8.929348690229427,51370695
2010-03-09,8.746600151062012,8.792288145689605,8.705989280633581,8.766905586276227,57489271
2010-03-10,8.705989837646484,8.807518040740858,8.685684401133118,8.736448502680306,59341465
2010-03-11,8.777059555053711,8.79228888788181,8.680608474512496,8.690760682712854,51448270
2010-03-12,8.670452117919922,8.746597734063336,8.624765156444752,8.726292304460237,90062719
2010-03-15,8.761828422546387,8.771981649188834,8.62476649630113,8.645071929058672,46310547
2010-03-16,8.761828422546387,8.82274574134637,8.68568279457376,8.792287081946379,56037175
2010-03-17,8.736445426940918,8.787208490088997,8.711062874839696,8.761826958514957,59708468
2010-03-18,8.746600151062012,8.807517477232135,8.69075994909105,8.802440353032974,53653975
2010-03-19,8.58415412902832,8.782132318910847,8.52831343331863,8.58415412902832,119353801
2010-03-22,8.705989837646484,8.756753939193672,8.619691987596564,8.629844195589477,74916107
2010-03-23,8.90396785736084,8.924274313851157,8.731372161940772,8.771983033866379,77908623
2010-03-24,8.939502716064453,8.990265790427308,8.903966931166602,8.939502716064453,77922536
2010-03-25,8.827821731567383,9.02580099696917,8.80751731724946,9.005495562123789,50807754
2010-03-26,8.70091438293457,8.822748031633848,8.680608944905961,8.812594802355735,57108144
2010-03-29,8.771982192993164,8.802439833753974,8.700912663672248,8.731371324960476,51374595
2010-03-30,8.761828422546387,8.827820823876564,8.695836021216207,8.792287081946379,44091982
2010-03-31,8.705989837646484,8.766906147186583,8.675531172612665,8.721219170163396,62218779
2010-04-01,8.670452117919922,8.771980286462602,8.624765156444752,8.736445529525383,72849107
2010-04-05,8.579078674316406,8.700911258742254,8.553696120498914,8.700911258742254,72462711
2010-04-06,8.609539031982422,8.655227030981377,8.558775439089896,8.59938580314013,81797462
2010-04-07,8.665374755859375,8.690756284041424,8.624763902557278,8.639993227677326,89101893
2010-04-08,8.70091438293457,8.711066591685066,8.63999806884874,8.665379611252598,55647722
2010-04-09,8.756752014160156,8.787209651970803,8.71614115006108,8.731370479230064,46376632
2010-04-12,8.777059555053711,8.797364991981988,8.726295452469232,8.79228888788181,51902754
2010-04-13,8.721219062805176,8.756753831398019,8.680608190278363,8.736448395134612,69737067
2010-04-14,8.665374755859375,8.721214934281521,8.599381353848182,8.721214934281521,101067744
2010-04-15,8.624765396118164,8.711063219197657,8.609536068360834,8.655224051632821,62821562
2010-04-16,8.528314590454102,8.634918363377384,8.528314590454102,8.619690054802662,79595867
2010-04-19,8.523240089416504,8.538468911116922,8.426789014346765,8.497858039564138,69487163
2010-04-20,8.508008003234863,8.563848698938788,8.49277867620074,8.543542759472093,59565545
2010-04-21,8.426790237426758,8.538470150406345,8.345567972268686,8.502935887772027,72271199
2010-04-22,8.365873336791992,8.406483701138132,8.289727181502688,8.376025545180685,73482877
2010-04-23,8.58415412902832,8.634917191777742,8.32525812073942,8.340487447775116,103613470
2010-04-26,8.538469314575195,8.614614957466562,8.47755300436761,8.558775261574834,87980858
2010-04-27,8.355720520019531,8.553699308903882,8.325261852295927,8.482630274831042,96488746
2010-04-28,8.391254425048828,8.44709411948948,8.32018539832015,8.360796270736538,63932478
2010-04-29,8.558772087097168,8.634917191482282,8.44201561403945,8.44201561403945,71149743
2010-04-30,8.487704277038574,8.629842820243152,8.467398843761304,8.62476671705568,53829045
2010-05-03,8.58415412902832,8.629841089608234,8.436939001895214,8.52831343331863,75855431
2010-05-04,8.761828422546387,8.827820823876564,8.660301258758668,8.705988227331304,127430181
2010-05-05,8.813127517700195,8.895205217069151,8.700270165426709,8.705399763816681,104662200
2010-05-06,8.587410926818848,8.828515404856413,8.130852535264976,8.802865355976214,125669474
2010-05-07,8.443777084350586,8.623322841357943,8.402738230968751,8.56689416013731,112673338
2010-05-10,8.720792770385742,8.849039995878018,8.638715041086392,8.669494705215008,86003238
2010-05-11,8.725918769836426,8.818256692835682,8.618191536764725,8.643841074406996,56871205
2010-05-12,8.66949462890625,8.766961158129288,8.57715615297452,8.710533493194701,56409764
2010-05-13,8.495077133178711,8.690012236393164,8.484817933684592,8.63871417635733,71447182
2010-05-14,8.310401916503906,8.484818108686193,8.238583909074642,8.479687993192014,66057658
2010-05-17,8.26423168182373,8.346309907749228,8.094945630900588,8.310400651679245,104156385
2010-05-18,8.110332489013672,8.336046625269471,8.094942666151232,8.27961847793631,77422519
2010-05-19,8.115463256835938,8.177021521971879,8.002605921778954,8.079554011019425,86483019
2010-05-20,7.812803268432617,8.038518549138757,7.807674184308625,7.9718296270593205,118531575
2010-05-21,7.9000115394592285,7.910271254525438,7.67429677672002,7.689686091498681,107967228
2010-05-24,7.807673454284668,7.889750652344418,7.77176368107858,7.838452596922548,56998001
2010-05-25,7.7255940437316895,7.746113469019608,7.566567208647349,7.669165366369318,108521105
2010-05-26,7.75124454498291,7.905140779617598,7.694815856864686,7.751244544982909,97223173
2010-05-27,7.884623050689697,7.925661915253848,7.782024857996601,7.8692332186574605,70586907
2010-05-28,7.812803268432617,7.997479172809772,7.807674184308625,7.864102359933521,64693677
2010-06-01,7.6896843910217285,7.910269505268864,7.674295079646222,7.776892723261438,59953206
2010-06-02,7.7974138259887695,7.8076740566342195,7.653777300289406,7.756374965972181,52215371
2010-06-03,7.812803268432617,7.8692324753401355,7.756375092807721,7.817933383839232,36096760
2010-06-04,7.571697235107422,7.71533424174187,7.525528270923661,7.699944415133557,82146968
2010-06-07,7.448579788208008,7.638385749318621,7.438320591848742,7.612735695855848,72500233
2010-06-08,7.463967800140381,7.47422750964749,7.361370705069283,7.453708090633271,66651482
2010-06-09,7.448579788208008,7.56656673403339,7.381891402384714,7.510138575851667,91258798
2010-06-10,7.648645877838135,7.7512435259873085,7.51526960557779,7.51526960557779,63426558
2010-06-11,7.930791854858398,7.961571520239919,7.79741502367642,7.8128043407257985,79704745
2010-06-14,7.8641037940979,8.002610747640064,7.848713960712747,7.982090797912725,54028778
2010-06-15,7.961569786071777,7.966699385423793,7.848711896990915,7.900010984358695,53201915
2010-06-16,7.941047668457031,7.987216628196138,7.879489399232307,7.910268533844669,39971580
2010-06-17,7.935916900634766,7.9359169006347665,7.7615018188767415,7.9153979948925555,52403088
2010-06-18,7.802546977996826,7.976962716589764,7.740988148372464,7.946183559598334,73595339
2010-06-21,7.746115207672119,7.889751216927346,7.699946232590861,7.8794920176218435,48184453
2010-06-22,7.67942476272583,7.81793113553531,7.67942476272583,7.771762172718429,46211471
2010-06-23,7.633255958557129,7.684555036371482,7.597346707215317,7.684555036371482,50930123
2010-06-24,7.417801380157471,7.556308279217307,7.371632413804193,7.499879599856766,90713669
2010-06-25,7.5101423263549805,7.546051594109812,7.387025205225134,7.433194190104002,61800236
2010-06-28,7.458841800689697,7.581958898308059,7.438322886001501,7.53578992224601,47024737
2010-06-29,7.325461387634277,7.42805900449909,7.274162837022399,7.40240998701368,68386787
2010-06-30,7.3152055740356445,7.42806243754105,7.269036599326422,7.294685628666094,53420304
2010-07-01,7.299810886383057,7.351109426567948,7.181823470496375,7.330590010493991,71540882
2010-07-02,7.253646373748779,7.366503231101353,7.233126945139221,7.330594488855259,42953557
2010-07-06,7.330594539642334,7.392153341538765,7.253646424002751,7.3511139683940545,75837408
2010-07-07,7.499880313873291,7.5050099130446775,7.284425288926272,7.340853973659033,57185719
2010-07-08,7.602476596832275,7.684554809527632,7.49987895987337,7.581956656927567,63019503
2010-07-09,7.576827526092529,7.6229964913542325,7.505009021098504,7.617866377151292,34381902
2010-07-12,7.658904552459717,7.664034666210024,7.535787494504939,7.556307433865023,40434707
2010-07-13,7.587088108062744,7.746114447595895,7.571698279331996,7.694815362254234,52752173
2010-07-14,7.612736701965332,7.6742954977446844,7.5152696829005645,7.556308536325986,48047222
2010-07-15,7.6281280517578125,7.658907197967826,7.515271182321095,7.617868336354475,45976956
2010-07-16,7.469101428985596,7.664036517032404,7.463971313996395,7.6076078303575345,50368025
2010-07-19,7.556305885314941,7.612734031157359,7.479357804317688,7.499877223831484,34474021
2010-07-20,7.463967800140381,7.515266863316956,7.407539140030764,7.515266863316956,49684506
2010-07-21,7.438324928283691,7.551181826082215,7.397285540715503,7.463973965417175,44571974
2010-07-22,7.597348690032959,7.628127835369857,7.484491823797665,7.494751023268656,47225313
2010-07-23,7.479360103607178,7.5922174612684685,7.3818920574916636,7.566567405529378,56075435
2010-07-26,7.705074787139893,7.740984042403676,7.494749885796629,7.50500959935182,58491941
2010-07-27,7.8333234786987305,7.879492456350671,7.689686430163218,7.746115638974548,63936483
2010-07-28,7.694815635681152,7.920530381665991,7.66916660774016,7.83845266722879,42533221
2010-07-29,7.7409820556640625,7.9102680593389465,7.705072809616463,7.787151012633676,61682083
2010-07-30,7.694815635681152,7.761504552123279,7.633257349853251,7.705075349985802,46412890
2010-08-02,7.941047668457031,7.94104766845703,7.7461126336042785,7.77689176821664,57746657
2010-08-03,8.38221549987793,8.454034500684436,8.182150382741215,8.207800431032933,167802492
2010-08-04,8.527453422546387,8.568949383879374,8.361469055829788,8.434086988162518,77121707
2010-08-05,8.397778511047363,8.54820268777075,8.335534563490818,8.501519466410993,77704147
2010-08-06,8.423715591430664,8.444463055816344,8.299227155423154,8.330349134078837,54416966
2010-08-09,8.517081260681152,8.548203759746997,8.356283593918414,8.449650048346426,50676952
2010-08-10,8.59488582611084,8.610447074485995,8.434088171311558,8.449649419686711,60703338
2010-08-11,8.299226760864258,8.475584631528788,8.294039503975867,8.454837168129478,56609181
2010-08-12,8.402968406677246,8.4185296591464,8.226609457104653,8.247357967525144,51069673
2010-08-13,8.340723037719727,8.428901715608278,8.314787795091773,8.382219008816637,34156240
2010-08-16,8.314788818359375,8.38740677671577,8.221422871901153,8.288853572539674,38242071
2010-08-17,8.439271926879883,8.506702584839463,8.366653493101099,8.418523951910089,53190953
2010-08-18,8.351092338562012,8.480767965556828,8.30440913369926,8.40815005240272,52097217
2010-08-19,8.314788818359375,8.366658788613943,8.205861620132366,8.335536806461201,56138359
2010-08-20,8.257728576660156,8.309598527984354,8.22141987142554,8.25254184222006,51745392
2010-08-23,8.351092338562012,8.42371129448514,8.288848413001348,8.402962797913743,62161126
2010-08-24,8.205859184265137,8.283664377243333,8.1799234247595,8.268103130093822,53044763
2010-08-25,8.294038772583008,8.330348003445637,8.122867131131787,8.179923823564156,52033556
2010-08-26,8.247354507446289,8.345907674711171,8.20067129100907,8.340720940320724,44662091
2010-08-27,8.345908164978027,8.361469411832767,8.17992326980971,8.288850955023543,40326989
2010-08-30,8.226606369018555,8.40815250839408,8.216232899779568,8.32516006202022,37586167
2010-08-31,8.252542495727539,8.351095150355441,8.190298027824804,8.242167983256513,47145315
2010-09-01,8.444461822509766,8.491145044367633,8.335534652431207,8.366656626541552,47862562
2010-09-02,8.506706237792969,8.522267486394885,8.428901037552844,8.470397526696377,38177145
2010-09-03,8.537830352783203,8.605261573860796,8.496334377161553,8.543017610428322,34781789
2010-09-07,8.470398902893066,8.532643386028944,8.408154941142001,8.52745612852395,42043322
2010-09-08,8.589700698852539,8.636383934165735,8.454838772170307,8.48077349737831,58522191
2010-09-09,8.698626518249512,8.76605824891227,8.641569301061592,8.677878012684575,55017219
2010-09-10,8.812742233276367,8.817928969382777,8.719375769512888,8.73493702060174,44291715
2010-09-13,8.8023681640625,8.895734632554234,8.740124199324569,8.823116152308476,50411555
2010-09-14,8.859419822692871,8.932038257284884,8.776427921884299,8.781614654992579,53768440
2010-09-15,8.957977294921875,9.004661043765385,8.833489383544894,8.854237368774392,58196610
2010-09-16,8.906107902526855,8.952790608859225,8.859424153424959,8.952790608859225,40812356
2010-09-17,8.84904956817627,8.952789481838654,8.833488320434562,8.926854764115408,56217936
2010-09-20,8.963165283203125,8.989100004654947,8.838676326141377,8.859424311856742,33106562
2010-09-21,8.890547752380371,8.963166231451522,8.864611985415156,8.942417200771485,46251206
2010-09-22,8.93204402923584,8.95797875430547,8.859425547717244,8.880173536326888,54848368
2010-09-23,8.838672637939453,8.9424125232277,8.828299170795185,8.880168592054751,39959880
2010-09-24,9.025407791137695,9.030594526041314,8.89573211916154,8.932041349025639,35529497
2010-09-27,8.906107902526855,9.04097032864979,8.885359917182523,9.03578255023656,29433055
2010-09-28,9.040968894958496,9.066903611833876,8.854236013701536,8.921667737454635,45909816
