Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
Date,,,,,
2010-01-04,28.552148818969727,28.64543685789522,27.765881712328955,27.84584288855081,35460500
2010-01-05,29.105192184448242,29.21180450761391,28.50549627799244,28.512160977974325,41208300
2010-01-06,29.265111923217773,29.37838895613866,28.858654153594056,28.951939626682726,27729000
2010-01-07,29.844816207885742,30.064703011767,29.058549373472445,29.17848855443978,44864700
2010-01-08,29.771516799926758,29.784843656691535,29.37172126433547,29.56495433282971,33110100
2010-01-11,29.67156982421875,30.11134597722343,29.524979467776056,30.06470324446826,31878700
2010-01-12,28.978591918945312,29.418368086031354,28.612109661508292,29.31175575891469,47109600
2010-01-13,29.484996795654297,29.671567713402446,28.565463980481933,29.018566959445817,39622000
2010-01-14,29.778169631958008,29.84480389491449,29.385036376945035,29.451670639901522,37938300
2010-01-15,29.105192184448242,29.604937925881984,28.878640679991413,29.518314618985418,69738500
2010-01-19,28.83865737915039,29.151832160895612,28.585454724219144,28.918618520343667,41731500
2010-01-20,28.918638229370117,29.105209268966124,28.458870250594558,28.658768156138823,39934400
2010-01-21,27.012928009033203,28.75204386988055,26.8663350883982,28.678747409563048,137547700
2010-01-22,26.0933837890625,27.45269244652695,25.866832346151757,27.086212844069525,106634900
2010-01-25,26.1267147064209,26.57981785328229,25.880174110635426,26.493194520013155,56572200
2010-01-26,25.613637924194336,26.54649779563736,25.507025585329874,25.986782381139278,52975300
2010-01-27,26.2066707611084,26.31328309590992,25.367096400437703,25.55366735088072,66314300
2010-01-28,26.306612014770508,26.679756366992326,25.800204182747564,26.439878036409585,65047400
2010-01-29,25.946794509887695,26.553152493388907,25.853509057324118,26.419889013634048,53649000
2010-02-01,26.40656280517578,26.606460571550503,25.953459845746135,26.053407458014494,37408200
2010-02-02,27.019590377807617,27.106213699021907,26.453212793969755,26.519844553772312,45968500
2010-02-03,26.846324920654297,27.38604835447939,26.766363822294764,27.03956042893481,37373300
2010-02-04,25.553665161132812,26.599799401051794,25.553665161132812,26.513178633962287,57211800
2010-02-05,25.520355224609375,25.906826583729316,24.674118580662306,25.746906787097874,75224100
2010-02-08,25.120561599731445,25.51369515084545,24.867356293461626,25.51369515084545,58321000
2010-02-09,25.58032989501953,25.786892477014035,25.213850026572036,25.447063795082414,45173500
2010-02-10,25.90015411376953,26.31994122991064,25.66694046137901,25.746899064793162,39331800
2010-02-11,26.000102996826172,26.23331663775707,25.56032688690073,25.88016382667941,33830600
2010-02-12,25.95346450805664,26.106719574536115,25.560331062100264,25.766891022997683,38051100
2010-02-16,26.699750900268555,26.74639363620905,25.820198534192805,26.20666982265803,46425300
2010-02-17,26.679763793945312,26.952958070528524,26.493190294978216,26.826354170901094,34644100
2010-02-18,26.92629051208496,26.992922236289786,26.499841376764447,26.61311581628012,31809500
2010-02-19,26.673093795776367,27.119534622606903,26.58647303536295,26.726401225419835,40290200
